Year,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017
Crime Type,Recorded crime - all offences,Robbery,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,All other theft offences,Criminal damage,Trafficking of drugs,Possession of drugs,Possession of weapons offences,Public order offences,Miscellaneous crimes against society,Recorded crime - all offences,Robbery,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,All other theft offences,Criminal damage,Trafficking of drugs,Possession of drugs,Possession of weapons offences,Public order offences,Miscellaneous crimes against society,Recorded crime - all offences,Robbery,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,All other theft offences,Criminal damage,Trafficking of drugs,Possession of drugs,Possession of weapons offences,Public order offences,Miscellaneous crimes against society,Recorded crime - all offences,Robbery,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,All other theft offences,Criminal damage,Trafficking of drugs,Possession of drugs,Possession of weapons offences,Public order offences,Miscellaneous crimes against society,Recorded crime - all offences,Robbery,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,All other theft offences,Criminal damage,Trafficking of drugs,Possession of drugs,Possession of weapons offences,Public order offences,Miscellaneous crimes against society,Recorded crime - all offences,Robbery,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,All other theft offences,Criminal damage,Trafficking of drugs,Possession of drugs,Possession of weapons offences,Public order offences,Miscellaneous crimes against society,Recorded crime - all offences,Robbery,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,All other theft offences,Criminal damage,Trafficking of drugs,Possession of drugs,Possession of weapons offences,Public order offences,Miscellaneous crimes against society,Recorded crime - all offences,Robbery,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,All other theft offences,Criminal damage,Trafficking of drugs,Possession of drugs,Possession of weapons offences,Public order offences,Miscellaneous crimes against society,Recorded crime - all offences,Robbery,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,All other theft offences,Criminal damage,Trafficking of drugs,Possession of drugs,Possession of weapons offences,Public order offences,Miscellaneous crimes against society,Recorded crime - all offences,Robbery,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,All other theft offences,Criminal damage,Trafficking of drugs,Possession of drugs,Possession of weapons offences,Public order offences,Miscellaneous crimes against society,Recorded crime - all offences,Robbery,Burglary - Residential,Burglary - Business & Community,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,All other theft offences,Criminal damage,Trafficking of drugs,Possession of drugs,Possession of weapons offences,Public order offences,Miscellaneous crimes against society
Foyle,"7,191",43,412,49,36,410,693,"2,150",18,85,41,107,87,"7,420",67,385,22,34,422,781,"2,009",36,101,32,138,163,"7,362",78,361,41,32,384,663,"1,991",49,112,36,179,198,"7,171",57,367,41,33,424,794,"1,948",37,149,49,117,147,"7,549",65,415,25,40,390,"1,042","1,926",41,122,44,149,188,"7,833",64,381,48,55,380,988,"1,809",63,222,36,114,168,"7,794",57,421,58,49,466,852,"1,568",91,283,53,140,203,"7,607",60,395,25,66,446,812,"1,596",65,323,47,86,156,"7,592",55,379,34,55,434,792,"1,559",64,317,76,111,171,"6,707",49,246,15,28,354,606,"1,489",67,277,54,79,253,"6,767",38,295,85,237,10,20,462,585,"1,330",106,460,69,92,187
Lagan Valley,"4,279",36,390,33,39,236,557,961,26,51,21,50,83,"4,055",37,350,20,37,242,603,872,34,57,27,57,79,"4,324",37,314,29,31,302,606,886,49,66,32,68,110,"4,186",42,318,17,39,298,575,898,60,63,18,79,72,"3,833",33,204,14,26,315,501,819,49,114,22,52,68,"3,697",30,167,16,26,298,555,672,44,138,30,58,76,"3,951",39,203,12,46,279,489,646,59,218,20,55,79,"4,088",18,208,8,49,283,515,609,54,298,46,52,145,"4,404",15,199,15,16,289,444,702,57,325,32,86,120,"4,285",22,187,10,20,295,459,722,48,331,33,67,158,"4,781",12,275,81,209,17,22,325,610,727,52,382,53,63,174
Mid Ulster,"4,000",18,233,13,20,108,405,"1,306",24,81,20,49,81,"3,805",24,214,11,14,165,459,"1,084",34,111,28,41,159,"3,873",35,286,15,23,159,452,"1,068",23,123,30,50,112,"3,845",18,238,5,11,153,432,"1,051",35,128,30,57,115,"4,100",24,204,19,21,131,526,904,50,164,22,49,124,"3,551",10,172,6,11,122,387,779,31,136,17,38,120,"3,437",16,196,13,8,158,395,727,32,134,25,49,107,"3,468",11,143,11,8,149,361,735,29,133,29,45,141,"3,537",10,149,4,6,138,308,790,33,157,39,32,105,"3,109",3,153,6,8,80,339,636,19,152,30,16,135,"2,983",8,111,69,149,4,6,92,259,602,15,217,22,21,93
Newry and Armagh,"6,015",45,478,29,21,390,658,"1,553",36,99,51,89,169,"6,323",77,525,23,18,565,715,"1,559",37,106,58,106,219,"6,396",83,500,12,18,531,766,"1,337",30,106,43,135,202,"5,972",60,560,32,14,342,737,"1,147",39,158,43,90,188,"5,932",65,388,27,18,375,765,"1,132",42,189,43,82,210,"5,519",43,365,38,15,343,685,"1,043",42,243,36,81,198,"5,744",40,396,29,17,444,679,"1,000",49,291,45,71,215,"5,840",31,355,26,17,424,603,959,44,363,51,99,191,"6,131",11,305,25,12,530,599,"1,107",57,274,75,70,250,"5,181",29,283,11,13,462,508,930,28,247,53,61,177,"5,258",19,255,92,245,13,16,442,571,927,40,296,64,51,230
North Antrim,"5,009",25,248,22,35,259,591,"1,520",26,114,36,93,96,"5,325",38,220,31,18,252,697,"1,481",40,99,32,119,129,"5,661",27,256,21,26,459,687,"1,527",45,151,34,174,120,"4,930",28,217,14,15,358,590,"1,303",36,112,45,120,88,"4,998",20,167,19,22,334,676,"1,094",43,131,36,151,122,"4,352",17,166,16,22,336,568,868,52,171,36,89,117,"4,564",18,164,12,14,312,645,891,56,194,51,78,118,"4,275",28,146,14,27,304,672,837,56,156,42,76,103,"4,117",21,137,10,22,293,520,820,46,161,51,62,107,"4,143",19,124,9,20,310,466,843,41,192,36,71,108,"4,471",24,244,146,122,13,8,420,476,817,34,251,55,46,119
North Down,"4,136",22,281,23,34,256,403,"1,202",12,75,23,53,47,"3,796",20,243,29,55,277,443,"1,006",16,61,25,60,57,"3,696",12,248,23,39,270,407,966,16,87,25,66,64,"3,564",25,185,21,25,249,444,857,29,95,23,54,60,"3,414",22,163,19,42,280,440,742,32,95,14,68,70,"3,194",9,124,21,30,230,430,724,17,101,14,58,49,"3,586",12,193,5,29,282,424,749,31,88,13,72,65,"3,666",15,152,8,26,268,380,840,25,114,17,56,100,"3,653",10,105,13,13,304,380,728,25,201,37,49,78,"3,615",13,126,9,24,242,398,831,34,166,31,44,71,"3,486",13,169,80,90,15,29,226,460,698,29,157,30,37,84
South Antrim,"4,792",35,355,17,39,115,690,"1,336",28,99,33,100,91,"4,774",36,320,4,42,123,696,"1,276",33,127,44,73,118,"4,871",37,307,11,48,181,668,"1,312",32,112,38,90,139,"5,084",51,301,11,25,174,735,"1,405",34,98,37,90,119,"4,778",42,227,10,26,134,674,"1,129",47,127,32,73,92,"4,872",37,212,6,35,152,617,"1,001",33,153,30,75,94,"4,591",19,199,5,30,181,562,869,37,155,33,54,87,"4,694",25,206,2,27,178,605,940,36,159,26,70,126,"4,544",18,196,6,26,181,619,984,30,205,37,91,121,"4,099",17,167,7,19,151,615,887,40,204,38,80,106,"4,298",12,251,81,203,7,16,177,595,859,40,251,37,41,108
South Down,"5,384",34,403,17,27,116,529,"1,670",25,104,30,79,62,"5,205",31,413,10,33,127,562,"1,323",20,85,21,79,127,"5,357",26,386,6,29,206,614,"1,178",36,122,25,83,146,"5,176",23,355,8,33,167,625,"1,119",37,154,39,86,134,"4,375",13,268,5,33,107,540,911,53,185,24,77,120,"4,019",23,257,6,17,88,564,829,48,229,21,55,86,"4,583",23,279,6,32,128,587,921,64,283,26,104,134,"4,432",16,236,5,24,131,480,875,36,227,42,113,140,"4,509",14,203,9,15,114,507,"1,054",33,227,30,53,159,"4,317",16,206,5,17,111,524,999,37,235,34,74,171,"4,395",16,229,98,164,7,15,103,497,975,27,244,33,55,136
Strangford,"3,431",17,242,13,24,145,342,"1,015",15,56,24,59,54,"3,301",21,232,7,18,180,445,865,11,48,20,48,68,"3,364",21,197,7,19,208,417,847,10,65,29,46,80,"3,305",38,167,5,27,184,366,826,27,73,20,38,93,"3,189",16,146,8,24,209,399,693,27,81,22,42,60,"3,166",12,182,11,16,183,421,773,23,84,12,27,49,"3,032",19,172,6,20,195,369,698,29,110,21,56,77,"3,303",20,172,6,13,188,377,726,30,127,16,76,77,"3,324",6,122,7,9,141,387,754,25,158,27,65,95,"3,411",19,108,7,15,157,402,771,32,175,24,54,96,"3,493",25,168,77,113,8,13,168,442,744,31,164,33,52,111
Upper Bann,"6,858",73,359,29,53,349,645,"1,998",36,191,37,148,108,"7,107",104,485,30,47,420,730,"1,705",40,278,58,221,112,"7,083",104,647,16,60,391,643,"1,566",49,199,56,193,192,"6,499",75,334,12,77,394,658,"1,503",55,221,46,110,172,"6,808",60,207,16,76,412,725,"1,609",43,237,52,114,179,"6,307",51,233,21,55,372,673,"1,270",87,287,63,126,165,"6,637",31,310,20,57,379,633,"1,364",79,330,47,106,168,"7,044",24,231,20,48,497,642,"1,356",78,338,58,107,219,"6,968",38,237,28,62,572,571,"1,306",83,305,64,107,197,"6,655",39,212,18,34,566,636,"1,250",65,280,78,70,210,"6,882",44,333,114,183,20,40,426,667,"1,228",61,377,92,59,223
West Tyrone,"4,117",22,204,15,12,176,412,"1,116",18,169,30,56,111,"4,096",36,260,16,15,161,541,"1,007",11,115,36,55,144,"3,836",15,231,10,21,137,457,942,8,104,25,62,141,"3,928",14,237,5,21,177,507,955,16,101,30,68,117,"3,814",10,223,8,20,207,479,812,24,148,20,56,122,"3,723",12,203,6,28,160,437,752,24,177,22,48,123,"3,341",17,208,7,25,168,423,615,21,117,27,32,133,"3,586",18,220,3,12,177,403,666,9,93,28,42,171,"3,623",11,188,10,5,194,389,754,12,92,36,38,127,"3,424",7,143,7,7,196,371,653,15,105,26,28,135,"3,153",15,131,57,149,19,6,176,310,642,23,107,21,25,110
